id,name,localizedName,logo
10357,World Cup Qualification (W) UEFA,World Cup Qualification (W) UEFA,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10357.png
10197,World Cup Qualification AFC,World Cup Qualification AFC,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10197.png
10196,World Cup Qualification CAF,World Cup Qualification CAF,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10196.png
10198,World Cup Qualification CONCACAF,World Cup Qualification CONCACAF,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10198.png
10199,World Cup Qualification CONMEBOL,World Cup Qualification CONMEBOL,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10199.png
10201,World Cup Qualification Inter-confederation,World Cup Qualification Inter-confederation,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10201.png
10200,World Cup Qualification OFC,World Cup Qualification OFC,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10200.png
10195,World Cup Qualification UEFA,World Cup Qualification UEFA,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10195.png
306,World Cup U17,World Cup U17,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/306.png
296,World Cup U20,World Cup U20,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/296.png
