name,shortName,id,deduction,ongoing,played,wins,draws,losses,scoresStr,goalConDiff,pts,idx,qualColor,logo,league_id
Real Salt Lake,Salt Lake,6606,,,3,2,0,1,5-2,3,6,2,,https://images.fotmob.com/image_resources/logo/teamlogo/6606_large.png,9514
Fredrikstad,Fredrikstad,8417,,,3,2,0,1,4-1,3,6,3,,https://images.fotmob.com/image_resources/logo/teamlogo/8417_large.png,9514
FC København,FC København,8391,,,3,2,0,1,9-7,2,6,4,,https://images.fotmob.com/image_resources/logo/teamlogo/8391_large.png,9514
Brøndby IF,Brøndby IF,8595,,,3,2,0,1,5-5,0,6,5,,https://images.fotmob.com/image_resources/logo/teamlogo/8595_large.png,9514
Beijing Guoan,Beijing Guoan,4177,,,1,1,0,0,1-0,1,3,6,,https://images.fotmob.com/image_resources/logo/teamlogo/4177_large.png,9514
Molde,Molde,9917,,,2,1,0,1,3-4,-1,3,7,,https://images.fotmob.com/image_resources/logo/teamlogo/9917_large.png,9514
IFK Göteborg,IFK Göteborg,9893,,,3,1,0,2,6-11,-5,3,8,,https://images.fotmob.com/image_resources/logo/teamlogo/9893_large.png,9514
FC Midtjylland,FC Midtjylland,8113,,,2,0,0,2,1-3,-2,0,9,,https://images.fotmob.com/image_resources/logo/teamlogo/8113_large.png,9514
Elfsborg,Elfsborg,8014,,,3,0,0,3,5-10,-5,0,10,,https://images.fotmob.com/image_resources/logo/teamlogo/8014_large.png,9514
Klaksvik,Klaksvik,8106,,,3,0,0,3,0-7,-7,0,11,,https://images.fotmob.com/image_resources/logo/teamlogo/8106_large.png,9514
Inter U19,Inter U19,394129,,,6,6,0,0,19-7,12,18,1,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394129_large.png,9741
Sporting CP U19,Sporting CP U19,394210,,,6,5,1,0,13-3,10,16,2,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394210_large.png,9741
Salzburg U19,Salzburg U19,675920,,,6,5,1,0,17-9,8,16,3,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/675920_large.png,9741
Barcelona U19,Barcelona U19,394213,,,6,5,0,1,17-10,7,15,4,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394213_large.png,9741
VfB Stuttgart U19,VfB Stuttgart U19,665291,,,6,4,1,1,13-6,7,13,5,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/665291_large.png,9741
Real Madrid U19,Real Madrid U19,603058,,,6,4,0,2,10-5,5,12,6,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/603058_large.png,9741
Atalanta U19,Atalanta U19,1087188,,,6,4,0,2,14-12,2,12,7,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/1087188_large.png,9741
Atletico Madrid U19,Atletico Madrid U19,581120,,,6,3,2,1,16-8,8,11,8,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/581120_large.png,9741
Benfica U19,Benfica U19,597674,,,6,3,2,1,12-7,5,11,9,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/597674_large.png,9741
Juventus U19,Juventus U19,394206,,,6,3,2,1,9-4,5,11,10,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394206_large.png,9741
Bayern München U19,Bayern München U19,601179,,,6,3,1,2,11-12,-1,10,11,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/601179_large.png,9741
Manchester City U19,Manchester City U19,394199,,,6,3,1,2,16-8,8,10,12,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/394199_large.png,9741
Girona U19,Girona U19,1677331,,,6,2,4,0,9-5,4,10,13,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/1677331_large.png,9741
Shakhtar Donetsk U19,Shakhtar Donetsk U19,592748,,,6,3,1,2,9-11,-2,10,14,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/592748_large.png,9741
